,date_local,time_local,Ozone_Maricopa,Ozone_LosAngeles,Ozone_Cook,Ozone_SanDiego,Ozone_Harris,Ozone_Orange,Ozone_MiamiDade,Ozone_Dallas,Ozone_Riverside,Ozone_Queens
1337,2019-02-25,2020-11-09 17:00:00,0.04663636363636365,0.03853846153846153,0.033,0.05385714285714286,0.025200000000000007,0.04066666666666667,0.040999999999999995,0.043000000000000003,0.04992307692307693,0.042
1338,2019-02-25,2020-11-09 18:00:00,0.0375909090909091,0.030846153846153843,0.03,0.04571428571428571,0.02533333333333334,0.03166666666666667,0.041499999999999995,0.038,0.037846153846153856,0.04
1339,2019-02-25,2020-11-09 19:00:00,0.024772727272727283,0.025538461538461534,0.031,0.03671428571428571,0.02700000000000001,0.025333333333333336,0.041499999999999995,0.03366666666666667,0.03138461538461539,0.038
1340,2019-02-25,2020-11-09 20:00:00,0.016727272727272733,0.018076923076923077,0.031,0.032999999999999995,0.027933333333333345,0.016333333333333335,0.041499999999999995,0.030333333333333334,0.02638461538461539,0.037
1341,2019-02-25,2020-11-09 21:00:00,0.014454545454545458,0.015846153846153847,0.029,0.03371428571428571,0.026866666666666674,0.01,0.041499999999999995,0.032,0.02176923076923077,0.037
1342,2019-02-25,2020-11-09 22:00:00,0.014272727272727275,0.011666666666666667,0.03,0.03028571428571428,0.027133333333333343,0.006333333333333333,0.040499999999999994,0.030666666666666665,0.021,0.037
1343,2019-02-25,2020-11-09 23:00:00,0.017409090909090916,0.00976923076923077,0.027,0.028571428571428574,0.026133333333333342,0.004666666666666667,0.038,0.030666666666666665,0.018769230769230774,0.036
1344,2019-02-26,2020-11-09 00:00:00,0.020545454545454547,0.007692307692307694,0.031,0.030857142857142857,0.025285714285714293,0.005333333333333333,0.0385,0.030666666666666665,0.020250000000000004,0.036
1345,2019-02-26,2020-11-09 01:00:00,0.021909090909090913,0.008923076923076924,0.031,0.029285714285714283,0.023500000000000004,0.005,0.039,0.028999999999999998,0.01930769230769231,0.036
1346,2019-02-26,2020-11-09 02:00:00,0.021363636363636366,0.008076923076923077,0.03,0.026,0.02278571428571429,0.006999999999999999,0.039,0.028333333333333332,0.01953846153846154,0.036
1347,2019-02-26,2020-11-09 03:00:00,0.021363636363636373,0.008230769230769232,0.028,0.022,0.021066666666666668,0.010333333333333333,0.037500000000000006,0.027666666666666662,0.018615384615384614,0.037
1348,2019-02-26,2020-11-09 04:00:00,0.017818181818181823,0.006384615384615386,0.03,0.02633333333333333,0.019733333333333332,0.006666666666666665,0.0375,0.026333333333333334,0.014363636363636363,0.036
1349,2019-02-26,2020-11-09 05:00:00,0.017181818181818187,0.0042307692307692315,0.027,0.019714285714285715,0.017399999999999995,0.005666666666666667,0.037000000000000005,0.023333333333333334,0.01375,0.035
1350,2019-02-26,2020-11-09 06:00:00,0.01504545454545455,0.005615384615384616,0.028,0.013714285714285715,0.014466666666666666,0.0033333333333333335,0.037,0.019666666666666666,0.011666666666666667,0.031
1351,2019-02-26,2020-11-09 07:00:00,0.019368421052631583,0.006000000000000001,0.028,0.012714285714285714,0.011866666666666668,0.005,0.0365,0.014666666666666668,0.017692307692307695,0.032
1352,2019-02-26,2020-11-09 08:00:00,0.022842105263157903,0.009833333333333333,0.027,0.016857142857142855,0.011533333333333336,0.010333333333333333,0.035500000000000004,0.013999999999999999,0.02453846153846154,0.034
1353,2019-02-26,2020-11-09 09:00:00,0.02920000000000001,0.018272727272727277,0.036,0.01933333333333333,0.012533333333333337,0.022000000000000002,0.035500000000000004,0.017,0.03307692307692307,0.035
1354,2019-02-26,2020-11-09 10:00:00,0.033809523809523824,0.024749999999999998,0.036,0.029800000000000004,0.01285714285714286,0.026,0.035500000000000004,0.020666666666666667,0.04261538461538462,0.035
1355,2019-02-26,2020-11-09 11:00:00,0.03830000000000001,0.029666666666666664,0.035,0.03433333333333334,0.015133333333333334,0.038,0.037,0.025666666666666667,0.04807692307692308,0.037
1356,2019-02-26,2020-11-09 12:00:00,0.042681818181818196,0.03416666666666667,0.034,0.037,0.018399999999999996,0.043333333333333335,0.038,0.028999999999999998,0.05108333333333334,0.037
1357,2019-02-26,2020-11-09 13:00:00,0.04545454545454546,0.03783333333333333,0.036,0.043166666666666666,0.020200000000000003,0.049999999999999996,0.035,0.029333333333333333,0.05407692307692309,0.039
1358,2019-02-26,2020-11-09 14:00:00,0.046545454545454557,0.04216666666666666,0.037,0.0415,0.02153333333333334,0.052333333333333336,0.03,0.03133333333333333,0.05646153846153848,0.039
1359,2019-02-26,2020-11-09 15:00:00,0.04690909090909092,0.04492307692307693,0.036,0.044833333333333336,0.021800000000000003,0.052,0.03,0.03133333333333333,0.05571428571428573,0.039
1360,2019-02-26,2020-11-09 16:00:00,0.044409090909090926,0.04430769230769231,0.037,0.04528571428571428,0.020733333333333333,0.049999999999999996,0.033,0.03166666666666667,0.05285714285714287,0.036
1361,2019-02-26,2020-11-09 17:00:00,0.03863636363636365,0.038307692307692306,0.038,0.041428571428571426,0.02286666666666667,0.04466666666666667,0.0325,0.03166666666666667,0.04785714285714286,0.032
1362,2019-02-26,2020-11-09 18:00:00,0.02677272727272728,0.03446153846153846,0.038,0.03842857142857142,0.02246666666666667,0.03966666666666667,0.034,0.03266666666666667,0.04092857142857143,0.031
1363,2019-02-26,2020-11-09 19:00:00,0.0185909090909091,0.035076923076923075,0.038,0.03828571428571428,0.024200000000000006,0.03900000000000001,0.035500000000000004,0.030666666666666665,0.03607142857142858,0.029
1364,2019-02-26,2020-11-09 20:00:00,0.01472727272727273,0.03453846153846153,0.037,0.03642857142857143,0.024200000000000006,0.03833333333333334,0.034,0.028333333333333332,0.03685714285714286,0.031
1365,2019-02-26,2020-11-09 21:00:00,0.015500000000000003,0.031692307692307686,0.035,0.03214285714285714,0.0208,0.034333333333333334,0.033,0.026333333333333334,0.03521428571428571,0.031
1366,2019-02-26,2020-11-09 22:00:00,0.01604545454545455,0.026000000000000006,0.034,0.02557142857142857,0.01966666666666667,0.030333333333333334,0.0295,0.02466666666666667,0.03214285714285715,0.032
1367,2019-02-26,2020-11-09 23:00:00,0.01663636363636364,0.02346153846153846,0.033,0.026714285714285715,0.019400000000000004,0.029333333333333333,0.027,0.021333333333333333,0.030357142857142857,0.031
1368,2019-02-27,2020-11-09 00:00:00,0.016954545454545458,0.020615384615384615,0.033,0.026285714285714284,0.02293333333333334,0.02466666666666667,0.0245,0.018666666666666668,0.03141666666666667,0.032
1369,2019-02-27,2020-11-09 01:00:00,0.01736363636363637,0.018153846153846152,0.032,0.024999999999999998,0.024000000000000007,0.022000000000000002,0.02,0.017333333333333336,0.024714285714285716,0.032
1370,2019-02-27,2020-11-09 02:00:00,0.01736363636363637,0.015461538461538459,0.028,0.027,0.022466666666666673,0.018,0.0215,0.015666666666666666,0.023142857142857142,0.031
1371,2019-02-27,2020-11-09 03:00:00,0.016454545454545458,0.013923076923076923,0.026,0.023,0.021866666666666666,0.016333333333333335,0.027,0.015,0.02157142857142857,0.032
1372,2019-02-27,2020-11-09 04:00:00,0.017272727272727276,0.011153846153846155,0.02,0.016666666666666666,0.021200000000000004,0.011000000000000001,0.029,0.013999999999999999,0.019769230769230768,0.03
1373,2019-02-27,2020-11-09 05:00:00,0.016272727272727276,0.010615384615384617,0.018,0.011714285714285715,0.018333333333333333,0.011333333333333332,0.025500000000000002,0.011333333333333334,0.0185,0.029
1374,2019-02-27,2020-11-09 06:00:00,0.01504545454545455,0.010461538461538463,0.017,0.013142857142857142,0.014733333333333333,0.011666666666666667,0.0215,0.007,0.014615384615384617,0.028
1375,2019-02-27,2020-11-09 07:00:00,0.017833333333333336,0.013307692307692309,0.015,0.015857142857142854,0.011266666666666666,0.018666666666666668,0.023,0.005333333333333333,0.019142857142857145,0.03
1376,2019-02-27,2020-11-09 08:00:00,0.020000000000000007,0.022692307692307696,0.016,0.026571428571428572,0.011333333333333334,0.03333333333333333,0.024,0.006000000000000001,0.028571428571428577,0.031
1377,2019-02-27,2020-11-09 09:00:00,0.017900000000000006,0.029769230769230774,0.015,0.03400000000000001,0.012800000000000004,0.039,0.022,0.005,0.04,0.031
1378,2019-02-27,2020-11-09 10:00:00,0.025666666666666678,0.034166666666666665,0.0,0.03816666666666666,0.013533333333333335,0.043333333333333335,0.020999999999999998,0.008333333333333333,0.04492857142857143,0.029
1379,2019-02-27,2020-11-09 11:00:00,0.03427272727272728,0.03758333333333334,0.0,0.042333333333333334,0.014799999999999999,0.04633333333333334,0.02,0.007333333333333333,0.04957142857142858,0.029
1380,2019-02-27,2020-11-09 12:00:00,0.04227272727272729,0.04030769230769231,0.0,0.044500000000000005,0.017,0.04733333333333333,0.0205,0.01,0.053928571428571444,0.029
1381,2019-02-27,2020-11-09 13:00:00,0.04835000000000002,0.04241666666666666,0.0,0.04583333333333334,0.016,0.04766666666666667,0.0195,0.013500000000000002,0.056214285714285724,0.033
1382,2019-02-27,2020-11-09 14:00:00,0.051150000000000015,0.04274999999999999,0.036,0.04716666666666667,0.018499999999999996,0.04700000000000001,0.020499999999999997,0.011999999999999999,0.05715384615384616,0.0
